order_id,opp_id,amount,payment_status,payment_date_id
ORD00103,OPP00770,1129.54,Paid,20260706
ORD00104,OPP00771,1997.64,Pending,20260430
ORD00105,OPP00774,785.97,Refunded,20260419
ORD00106,OPP00784,145.56,Paid,20260506
ORD00107,OPP00795,56.47,Paid,20251213
ORD00108,OPP00800,1020.29,Paid,20251103
ORD00109,OPP00825,297.87,Paid,20260825
ORD00110,OPP00831,2872.24,Paid,20260403
ORD00111,OPP00841,70.58,Paid,20260827
ORD00112,OPP00844,121.21,Paid,20260612
ORD00113,OPP00848,151.71,Paid,20260711
ORD00114,OPP00856,26.07,Paid,20260630
ORD00115,OPP00864,433.08,Paid,20260228
ORD00116,OPP00868,131.65,Pending,20260725
ORD00117,OPP00878,359.74,Paid,20260214
ORD00118,OPP00889,21.4,Paid,20260531
ORD00119,OPP00925,372.3,Paid,20260211
ORD00120,OPP00939,1414.27,Pending,20260810
ORD00121,OPP00968,1286.96,Paid,20260415
ORD00122,OPP00994,25.45,Paid,20260201
ORD00123,OPP00996,34.37,Paid,20260706
ORD00124,OPP01016,88.53,Paid,20260809
ORD00125,OPP01028,1765.35,Paid,20260331
ORD00126,OPP01047,200.88,Paid,20260708
ORD00127,OPP01054,22.36,Paid,20260419
ORD00128,OPP01058,75.38,Paid,20260403
ORD00129,OPP01059,462.42,Paid,20260305
ORD00130,OPP01073,135.77,Paid,20260425
ORD00131,OPP01082,363.99,Paid,20251224
ORD00132,OPP01086,47.15,Paid,20260816
ORD00133,OPP01088,113.4,Paid,20260601
ORD00134,OPP01102,1779.56,Paid,20260505
ORD00135,OPP01106,243.36,Paid,20260725
ORD00136,OPP01126,897.59,Paid,20260616
ORD00137,OPP01128,450.71,Paid,20260722
ORD00138,OPP01129,1923.76,Paid,20260611
ORD00139,OPP01130,240.05,Paid,20260114
ORD00140,OPP01136,90.56,Paid,20260603
ORD00141,OPP01151,752.17,Paid,20260411
ORD00142,OPP01154,68.67,Paid,20260618
ORD00143,OPP01176,13.86,Paid,20260330
ORD00144,OPP01183,2290.12,Paid,20260802
ORD00145,OPP01192,1035.93,Paid,20260216
ORD00146,OPP01229,137.08,Paid,20260704
ORD00147,OPP01237,615.06,Paid,20260217
ORD00148,OPP01244,328.8,Paid,20260617
ORD00149,OPP01275,217.88,Paid,20260701
ORD00150,OPP01280,166.55,Paid,20251215
ORD00151,OPP01282,1038.55,Paid,20260819
ORD00152,OPP01285,3.98,Refunded,20260714
ORD00153,OPP01287,1729.69,Paid,20260819
ORD00154,OPP01288,98.98,Paid,20260122
ORD00155,OPP01294,680.64,Pending,20260716
ORD00156,OPP01296,48.55,Paid,20260324
ORD00157,OPP01300,560.01,Paid,20260806
ORD00158,OPP01302,12.26,Paid,20260717
ORD00159,OPP01303,17.1,Paid,20260210
ORD00160,OPP01306,173.8,Paid,20260713
ORD00161,OPP01327,80.11,Paid,20260111
ORD00162,OPP01340,134.71,Paid,20260311
ORD00163,OPP01343,313.35,Paid,20260322
ORD00164,OPP01360,37.1,Paid,20260527
ORD00165,OPP01363,1172.38,Paid,20260815
ORD00166,OPP01366,367.87,Paid,20260422
ORD00167,OPP01369,543.04,Paid,20260718
ORD00168,OPP01371,2182.9,Paid,20260221
ORD00169,OPP01377,90.69,Pending,20260812
ORD00170,OPP01389,724.74,Paid,20260825
ORD00171,OPP01393,95.51,Paid,20260705
ORD00172,OPP01419,119.52,Paid,20260616
ORD00173,OPP01426,152.49,Paid,20260313
ORD00174,OPP01433,755.11,Paid,20260623
ORD00175,OPP01445,396.52,Paid,20260822
ORD00176,OPP01450,-220.94,Paid,20260408
ORD00177,OPP01458,356.25,Paid,20260708
ORD00178,OPP01473,37.19,Paid,20260717
ORD00179,OPP01481,159.85,Paid,20260407
ORD00180,OPP01484,67.26,Paid,20260826
ORD00181,OPP01487,115.6,Paid,20260815
ORD00182,OPP01491,469.85,Paid,20260621
ORD00183,OPP01495,256.9,Paid,20260902
ORD00184,OPP01498,362.78,Paid,20260305
ORD00185,OPP01499,30.3,Paid,20260531
ORD00186,OPP01514,48.05,Paid,20260214
ORD00187,OPP01519,395.91,Paid,20260814
ORD00188,OPP01525,89.05,Paid,20260324
ORD00189,OPP01533,34.23,Paid,20260226
ORD00190,OPP01550,181.82,Paid,20251214
ORD00191,OPP01552,134.0,Paid,20251201
ORD00192,OPP01557,285.99,Paid,20260227
ORD00193,OPP01562,269.22,Paid,20260901
ORD00194,OPP01567,116.55,Paid,20260112
ORD00195,OPP01568,119.92,Paid,20260417
ORD00196,OPP01569,173.73,Pending,20260826
ORD00197,OPP01575,384.01,Refunded,20260712
ORD00198,OPP01587,170.78,Paid,20260619
ORD00199,OPP01590,135.03,Paid,20260604
ORD00200,OPP01600,107.56,Paid,20260714
ORD00201,OPP01611,119.68,Pending,20260902
ORD00202,OPP01616,149.24,Paid,20260805
ORD00203,OPP01624,124.26,Paid,20260827
ORD00204,OPP01646,25.9,Paid,20260703
ORD00205,OPP01657,609.35,Paid,20260806
ORD00206,OPP01670,40.59,Paid,20260719
ORD00207,OPP01679,21.76,Pending,20260404
ORD00208,OPP01688,2416.4,Paid,20260327
ORD00209,OPP01689,129.43,Paid,20251003
ORD00210,OPP01693,319.6,Paid,20260127
ORD00211,OPP01698,13.9,Paid,20251009
ORD00212,OPP01705,122.47,Paid,20260706
ORD00213,OPP01737,354.53,Paid,20260720
ORD00214,OPP01748,101.41,Paid,20251110
ORD00215,OPP01751,2249.58,Paid,20260421
ORD00216,OPP01755,260.84,Paid,20260720
ORD00217,OPP01768,218.1,Paid,20260816
ORD00218,OPP01777,158.49,Paid,20251031
ORD00219,OPP01783,16.41,Paid,20260525
ORD00220,OPP01785,2606.98,Paid,20260821
ORD00221,OPP01799,21.66,Paid,20260309
ORD00222,OPP01805,164.35,Refunded,20260619
ORD00223,OPP01835,134.89,Paid,20260630
ORD00224,OPP01846,601.14,Pending,20260706
ORD00225,OPP01848,1615.51,Paid,20260420
ORD00226,OPP01852,770.17,Paid,20260817
ORD00227,OPP01855,3.98,Paid,20260819
ORD00228,OPP01862,517.08,Paid,20260901
ORD00229,OPP01863,159.32,Paid,20251215
ORD00230,OPP01876,1002.66,Paid,20260315
ORD00231,OPP01877,172.09,Paid,20260408
ORD00232,OPP01884,163.27,Paid,20260224
ORD00233,OPP01889,25.12,Paid,20260622
ORD00234,OPP01895,1117.16,Paid,20251218
ORD00235,OPP01897,492.62,Paid,20260826
ORD00236,OPP01900,88.19,Paid,20260515
ORD00237,OPP01912,107.74,Paid,20260810
ORD00238,OPP01913,103.84,Refunded,20260825
ORD00239,OPP01924,141.41,Paid,20260517
ORD00240,OPP01940,629.37,Paid,20260526
ORD00241,OPP01953,209.22,Paid,20260627
ORD00242,OPP01955,3562.53,Paid,20260611
ORD00243,OPP01957,61.99,Paid,20260425
ORD00244,OPP01958,966.58,Paid,20260611
ORD00245,OPP01969,169.94,Paid,20260505
ORD00246,OPP01978,60.37,Paid,20260821
ORD00247,OPP01998,204.35,Paid,20260507
ORD00248,OPP02013,250.04,Pending,20260401
ORD00249,OPP02015,23.55,Paid,20260115
ORD00250,OPP02023,243.79,Paid,20260816
ORD00251,OPP02029,4324.25,Paid,20251219
ORD00252,OPP02035,839.59,Paid,20260728
ORD00253,OPP02038,186.21,Paid,20260704
ORD00254,OPP02049,133.35,Paid,20260814
ORD00255,OPP02062,158.99,Paid,20260705
ORD00256,OPP02066,153.49,Paid,20260627
ORD00257,OPP02073,46.12,Paid,20260803
ORD00258,OPP02080,135.41,Paid,20251212
ORD00259,OPP02090,24.78,Paid,20260902
ORD00260,OPP02101,53.52,Paid,20260815
ORD00261,OPP02105,407.5,Refunded,20260816
ORD00262,OPP02109,1927.71,Paid,20260114
ORD00263,OPP02111,96.62,Paid,20260227
ORD00264,OPP02122,4.05,Paid,20260902
ORD00265,OPP02125,66.71,Paid,20260901
ORD00266,OPP02135,1101.78,Paid,20260326
ORD00267,OPP02136,298.76,Paid,20260818
ORD00268,OPP02138,343.27,Refunded,20260706
ORD00269,OPP02140,30.12,Paid,20260301
ORD00270,OPP02145,92.37,Paid,20260828
ORD00271,OPP02148,25.9,Paid,20260527
ORD00272,OPP02150,165.69,Paid,20251106
ORD00273,OPP02155,24.76,Paid,20260119
ORD00274,OPP02179,489.5,Paid,20260827
ORD00275,OPP02184,151.67,Paid,20260818
ORD00276,OPP02188,197.64,Paid,20260817
ORD00277,OPP02190,9.13,Paid,20251024
ORD00278,OPP02238,99.17,Paid,20260319
ORD00279,OPP02254,147.57,Refunded,20251113
ORD00280,OPP02261,602.96,Paid,20260429
ORD00281,OPP02266,327.27,Paid,20260403
ORD00282,OPP02272,216.36,Paid,20260615
ORD00283,OPP02275,1572.63,Paid,20260520
ORD00284,OPP02309,253.3,Paid,20260206
ORD00285,OPP02321,156.29,Paid,20260327
ORD00286,OPP02326,26.75,Paid,20251027
ORD00287,OPP02337,90.67,Paid,20260729
ORD00288,OPP02343,198.98,Paid,20251202
ORD00289,OPP02348,33.44,Paid,20260226
ORD00290,OPP02355,34.84,Paid,20260803
ORD00291,OPP02357,50.03,Paid,20260118
ORD00292,OPP02365,1697.5,Paid,20260427
ORD00293,OPP02371,34.38,Paid,20251021
ORD00294,OPP02380,84.28,Pending,20260623
ORD00295,OPP02382,53.9,Paid,20260329
ORD00296,OPP02386,68.86,Paid,20260808
ORD00297,OPP02389,10.64,Paid,20260901
ORD00298,OPP02390,110.95,Paid,20251030
ORD00299,OPP02391,988.2,Paid,20260522
ORD00300,OPP02398,89.68,Paid,20260620
ORD00301,OPP02414,446.2,Paid,20260703
ORD00302,OPP02419,1492.34,Paid,20260417
ORD00303,OPP02426,0.0,Paid,20260707
ORD00304,OPP02430,1676.47,Refunded,20260130
ORD00305,OPP02440,511.12,Pending,20260501
ORD00306,OPP02442,95.86,Paid,20260605
ORD00307,OPP02450,320.79,Pending,20260424
ORD00308,OPP02451,64.07,Paid,20251201
ORD00309,OPP02462,18.51,Pending,20260812
ORD00310,OPP02467,590.62,Paid,20251206
ORD00311,OPP02474,226.91,Paid,20260421
ORD00312,OPP02488,277.43,Paid,20260621
ORD00313,OPP02497,187.61,Paid,20260312
ORD00314,OPP02508,437.91,Paid,20260704
ORD00315,OPP02511,11.14,Paid,20260822
ORD00316,OPP02528,513.34,Paid,20260301
ORD00317,OPP02541,564.42,Paid,20260801
ORD00318,OPP02549,73.82,Paid,20260424
ORD00319,OPP02561,184.37,Paid,20251227
ORD00320,OPP02568,18.33,Paid,20260811
ORD00321,OPP02600,103.88,Pending,20260713
ORD00322,OPP02620,83.26,Paid,20260701
ORD00323,OPP02643,94.02,Paid,20251021
ORD00324,OPP02647,49.68,Paid,20260331
ORD00325,OPP02660,235.13,Refunded,20260505
ORD00326,OPP02662,37.16,Paid,20260515
ORD00327,OPP02666,38.8,Paid,20260110
ORD00328,OPP02676,518.53,Paid,20251230
ORD00329,OPP02680,72.97,Paid,20260717
ORD00330,OPP02681,144.92,Paid,20260730
ORD00331,OPP02703,114.45,Paid,20251020
ORD00332,OPP02710,225.74,Paid,20260823
ORD00333,OPP02714,172.5,Paid,20260308
ORD00334,OPP02720,56.83,Paid,20260726
ORD00335,OPP02748,181.52,Paid,20260604
ORD00336,OPP02758,225.84,Paid,20260830
ORD00337,OPP02764,3024.67,Paid,20260519
ORD00338,OPP02775,12.05,Paid,20260425
ORD00339,OPP02782,369.77,Paid,20260501
ORD00340,OPP02784,533.3,Paid,20251122
ORD00341,OPP02795,209.67,Refunded,20260816
ORD00342,OPP02807,16.22,Paid,20260321
ORD00343,OPP02811,32.01,Paid,20260601
ORD00344,OPP02818,168.26,Paid,20260901
ORD00345,OPP02820,164.93,Paid,20260428
ORD00346,OPP02852,55.52,Pending,20250923
ORD00347,OPP02883,2267.55,Paid,20260715
ORD00348,OPP02885,1326.5,Paid,20260726
ORD00349,OPP02901,34.79,Paid,20260516
ORD00350,OPP02905,-790.55,Paid,20260716
ORD00351,OPP02932,81.02,Paid,20260622
ORD00352,OPP02934,177.09,Paid,20260826
ORD00353,OPP02941,42.19,Paid,20260815
ORD00354,OPP02945,36.82,Paid,20260321
ORD00355,OPP02950,1202.6,Paid,20260527
ORD00356,OPP02951,1475.92,Paid,20251120
ORD00357,OPP02964,200.58,Paid,20260830
ORD00358,OPP02973,704.4,Paid,20260103
ORD00359,OPP02979,54.29,Paid,20260823
ORD00360,OPP02984,27.87,Paid,20250825
ORD00361,OPP02998,280.36,Paid,20260329
ORD00362,OPP02999,219.92,Paid,20260409
ORD00363,OPP03001,186.89,Paid,20260731
ORD00364,OPP03002,126.79,Paid,20260405
ORD00365,OPP03007,33.2,Paid,20260425
ORD00366,OPP03012,349.58,Paid,20260616
ORD00367,OPP03014,28.56,Paid,20250715
ORD00368,OPP03024,479.16,Paid,20260625
ORD00369,OPP03035,309.32,Refunded,20251107
ORD00370,OPP03044,757.36,Paid,20260205
ORD00371,OPP03046,128.73,Paid,20260106
ORD00372,OPP03049,87.95,Paid,20260719
ORD00373,OPP03055,155.66,Paid,20260711
ORD00374,OPP03065,4.6,Paid,20251104
ORD00375,OPP03066,89.69,Paid,20260830
ORD00376,OPP03067,38.93,Paid,20260307
ORD00377,OPP03089,47.14,Paid,20251208
ORD00378,OPP03093,826.68,Paid,20260511
ORD00379,OPP03099,86.67,Paid,20260201
ORD00380,OPP03100,154.77,Paid,20260807
ORD00381,OPP03103,39.16,Paid,20260816
ORD00382,OPP03104,820.64,Paid,20260329
ORD00383,OPP03107,14.11,Paid,20260224
ORD00384,OPP03109,291.37,Paid,20250731
ORD00385,OPP03120,1609.58,Paid,20260810
ORD00386,OPP03125,74.36,Refunded,20260327
ORD00387,OPP03135,248.98,Paid,20260101
ORD00388,OPP03144,144.14,Paid,20260716
ORD00389,OPP03150,192.33,Paid,20260805
ORD00390,OPP03151,537.44,Paid,20260726
ORD00391,OPP03154,-132.06,Paid,20260825
ORD00392,OPP03155,106.34,Paid,20260901
ORD00393,OPP03160,36.98,Refunded,20260824
ORD00394,OPP03167,80.5,Paid,20260523
ORD00395,OPP03168,37.91,Paid,20260702
ORD00396,OPP03199,2075.93,Paid,20260519
ORD00397,OPP03200,94.63,Paid,20251118
ORD00398,OPP03216,39.81,Paid,20260722
ORD00399,OPP03222,176.61,Paid,20260829
ORD00400,OPP03229,89.56,Paid,20251110
ORD00401,OPP03230,61.63,Paid,20260827
ORD00402,OPP03240,3194.67,Paid,20260120
ORD00403,OPP03254,2920.34,Paid,20260813
ORD00404,OPP03266,398.63,Pending,20260817
ORD00405,OPP03282,356.3,Pending,20260828
ORD00406,OPP03312,331.82,Paid,20251007
ORD00407,OPP03318,321.94,Paid,20260627
ORD00408,OPP03324,167.29,Paid,20260515
ORD00409,OPP03326,1248.28,Paid,20260823
ORD00410,OPP03333,202.95,Paid,20260611
ORD00411,OPP03334,5420.12,Paid,20251227
ORD00412,OPP03343,131.47,Pending,20260803
ORD00413,OPP03346,674.94,Paid,20260414
ORD00414,OPP03347,367.25,Paid,20260714
ORD00415,OPP03348,121.51,Paid,20251029
ORD00416,OPP03356,7.23,Paid,20260426
ORD00417,OPP03361,1027.04,Paid,20260216
ORD00418,OPP03380,656.41,Paid,20260403
ORD00419,OPP03383,35.1,Paid,20260713
ORD00420,OPP03411,127.86,Paid,20260815
ORD00421,OPP03416,69.13,Paid,20260902
ORD00422,OPP03421,515.93,Paid,20260809
ORD00423,OPP03436,103.03,Paid,20260112
ORD00424,OPP03452,107.42,Paid,20260816
ORD00425,OPP03462,312.44,Paid,20260703
ORD00426,OPP03470,20.72,Refunded,20260630
ORD00427,OPP03474,46.09,Paid,20260407
ORD00428,OPP03475,7.16,Pending,20260206
ORD00429,OPP03492,282.58,Paid,20260715
ORD00430,OPP03495,73.46,Paid,20260125
ORD00431,OPP03500,167.55,Paid,20251116
ORD00432,OPP03507,63.47,Paid,20260314
ORD00433,OPP03536,351.47,Paid,20260803
ORD00434,OPP03560,269.5,Paid,20260403
ORD00435,OPP03565,326.12,Paid,20260811
ORD00436,OPP03572,59.14,Paid,20260801
ORD00437,OPP03585,35.42,Paid,20260619
ORD00438,OPP03610,231.33,Paid,20260527
ORD00439,OPP03618,1528.18,Refunded,20251215
ORD00440,OPP03629,717.52,Paid,20251206
ORD00441,OPP03638,248.37,Paid,20260413
ORD00442,OPP03651,518.3,Paid,20260428
ORD00443,OPP03679,47.47,Paid,20260430
ORD00444,OPP03685,178.39,Paid,20260523
ORD00445,OPP03692,64.48,Paid,20260830
ORD00446,OPP03695,143.27,Paid,20260416
ORD00447,OPP03713,23.73,Paid,20260609
ORD00448,OPP03715,26.27,Paid,20260621
ORD00449,OPP03718,108.05,Paid,20260828
ORD00450,OPP03724,4.28,Paid,20260705
ORD00451,OPP03729,821.01,Paid,20251223
ORD00452,OPP03731,704.16,Refunded,20260124
ORD00453,OPP03736,458.18,Paid,20260418
ORD00454,OPP03743,84.33,Paid,20260525
ORD00455,OPP03744,310.96,Paid,20260628
ORD00456,OPP03750,329.35,Paid,20260204
ORD00457,OPP03752,37.54,Paid,20260806
ORD00458,OPP03756,2173.64,Paid,20260831
ORD00459,OPP03781,5709.09,Pending,20260726
ORD00460,OPP03791,70.81,Paid,20260607
ORD00461,OPP03794,1282.84,Paid,20260623
ORD00462,OPP03810,73.63,Paid,20260628
ORD00463,OPP03812,10.2,Paid,20260803
ORD00464,OPP03813,646.05,Paid,20260822
ORD00465,OPP03840,106.05,Paid,20260404
ORD00466,OPP03842,525.24,Paid,20260812
ORD00467,OPP03858,147.01,Paid,20260705
ORD00468,OPP03860,203.77,Paid,20260726
ORD00469,OPP03865,142.54,Paid,20260301
ORD00470,OPP03868,110.35,Paid,20260709
ORD00471,OPP03875,3.7,Paid,20260522
ORD00472,OPP03881,1942.52,Paid,20260610
ORD00473,OPP03884,104.14,Refunded,20260526
ORD00474,OPP03895,4787.89,Paid,20260521
ORD00475,OPP03899,899.15,Paid,20251223
ORD00476,OPP03904,241.56,Paid,20260716
ORD00477,OPP03908,70.09,Pending,20251114
ORD00478,OPP03911,280.78,Paid,20251212
ORD00479,OPP03912,15.65,Paid,20260108
ORD00480,OPP03916,202.94,Paid,20260204
ORD00481,OPP03933,4409.33,Pending,20260517
ORD00482,OPP03939,59.55,Paid,20260428
ORD00483,OPP03958,651.98,Paid,20260331
ORD00484,OPP03970,92.84,Pending,20260111
ORD00485,OPP03972,138.82,Paid,20260723
ORD00486,OPP03997,104.52,Paid,20260902
ORD00487,OPP04015,773.34,Paid,20260810
ORD00488,OPP04027,592.7,Paid,20260719
ORD00489,OPP04034,2.48,Paid,20251201
ORD00490,OPP04035,269.79,Paid,20260117
ORD00491,OPP04038,128.63,Paid,20250930
ORD00492,OPP04051,417.25,Paid,20260107
ORD00493,OPP04070,302.19,Paid,20260822
ORD00494,OPP04075,219.26,Paid,20260901
ORD00495,OPP04082,28.67,Paid,20260529
ORD00496,OPP04091,124.76,Paid,20260812
ORD00497,OPP04110,102.94,Paid,20260309
ORD00498,OPP04114,80.86,Paid,20260725
ORD00499,OPP04118,2416.48,Paid,20260616
ORD00500,OPP04140,822.4,Paid,20251211
ORD00501,OPP04145,1380.13,Paid,20260219
ORD00502,OPP04147,376.98,Paid,20260730
ORD00503,OPP04151,181.87,Paid,20260717
ORD00504,OPP04156,133.96,Paid,20260311
ORD00505,OPP04157,66.39,Paid,20260629
ORD00506,OPP04158,544.43,Paid,20260209
ORD00507,OPP04166,356.39,Paid,20260708
ORD00508,OPP04178,137.91,Paid,20260506
ORD00509,OPP04224,1291.77,Paid,20250830
ORD00510,OPP04228,62.96,Paid,20251002
ORD00511,OPP04233,1307.36,Pending,20260806
ORD00512,OPP04254,433.47,Paid,20260716
ORD00513,OPP04264,265.77,Paid,20260805
ORD00514,OPP04273,944.78,Paid,20260829
ORD00515,OPP04276,62.7,Paid,20260901
ORD00516,OPP04277,386.43,Paid,20260130
ORD00517,OPP04293,4917.76,Paid,20260716
ORD00518,OPP04294,131.6,Refunded,20260824
ORD00519,OPP04320,236.16,Paid,20260209
ORD00520,OPP04347,100.43,Paid,20260823
ORD00521,OPP04350,14.93,Pending,20251023
ORD00522,OPP04355,346.94,Paid,20260809
ORD00523,OPP04363,338.32,Paid,20260627
ORD00524,OPP04368,56.41,Paid,20260724
ORD00525,OPP04375,108.36,Paid,20260630
ORD00526,OPP04376,252.59,Paid,20260519
ORD00527,OPP04421,141.33,Paid,20260115
ORD00528,OPP04423,99.94,Paid,20251230
ORD00529,OPP04425,644.66,Paid,20251117
ORD00530,OPP04432,1005.0,Paid,20250929
ORD00531,OPP04441,3769.52,Paid,20260424
ORD00532,OPP04446,66.73,Refunded,20251214
ORD00533,OPP04449,174.2,Paid,20260702
ORD00534,OPP04452,38.69,Paid,20260827
ORD00535,OPP04466,1329.91,Paid,20260818
ORD00536,OPP04467,102.7,Paid,20260817
ORD00537,OPP04471,5.66,Paid,20251201
ORD00538,OPP04490,7662.3,Paid,20260827
ORD00539,OPP04493,596.66,Paid,20260623
ORD00540,OPP04498,1945.87,Paid,20260131
ORD00541,OPP04508,2832.02,Paid,20260829
ORD00542,OPP04522,247.01,Paid,20260218
ORD00543,OPP04529,4243.9,Paid,20260902
ORD00544,OPP04534,44.66,Paid,20260606
ORD00545,OPP04557,58.26,Paid,20260817
ORD00546,OPP04561,682.75,Pending,20251224
ORD00547,OPP04563,63.2,Paid,20260810
ORD00548,OPP04568,115.56,Paid,20260617
ORD00549,OPP04577,414.64,Paid,20260321
ORD00550,OPP04583,69.55,Refunded,20260329
ORD00551,OPP04584,1953.61,Paid,20260217
ORD00552,OPP04585,1938.4,Paid,20251005
ORD00553,OPP04603,289.89,Paid,20260219
ORD00554,OPP04615,2498.45,Paid,20260824
ORD00555,OPP04624,81.37,Paid,20260619
ORD00556,OPP04631,292.38,Paid,20260807
ORD00557,OPP04651,1808.82,Paid,20260902
ORD00558,OPP04655,805.43,Paid,20260510
ORD00559,OPP04684,1244.29,Paid,20251025
ORD00560,OPP04690,480.28,Paid,20260704
ORD00561,OPP04694,456.25,Paid,20260822
ORD00562,OPP04699,57.54,Paid,20260823
ORD00563,OPP04700,2039.65,Refunded,20260202
ORD00564,OPP04706,33.11,Refunded,20260827
ORD00565,OPP04711,1195.94,Paid,20260706
ORD00566,OPP04722,623.89,Paid,20260629
ORD00567,OPP04726,66.61,Paid,20250906
ORD00568,OPP04728,318.37,Paid,20260730
ORD00569,OPP04733,60.08,Paid,20260624
ORD00570,OPP04736,53.08,Paid,20260515
ORD00571,OPP04747,146.82,Paid,20260716
ORD00572,OPP04748,100.6,Paid,20260707
ORD00573,OPP04758,62.33,Paid,20260822
ORD00574,OPP04761,28.43,Paid,20260324
ORD00575,OPP04765,106.27,Paid,20260525
ORD00576,OPP04766,49.82,Paid,20260902
