opp_id,rep_id,product_id,region_id,channel_id,stage,deal_value,deal_value_flag,created_date_id,close_date_id
OPP00123,REP015,PRD01,4,5,Qualified,18.22,OK,20251016,
OPP00124,REP011,PRD08,4,2,Lead,1601.74,OK,20260125,
OPP00125,REP027,PRD01,3,3,Closed Won,23.77,OK,20251001,20251111
OPP00126,REP031,PRD15,3,4,Closed Lost,398.21,OK,20251101,20260214
OPP00127,REP026,PRD06,3,4,Qualified,638.31,OK,20260207,
OPP00128,REP005,PRD02,5,1,Qualified,92.28,OK,20251214,
OPP00129,REP003,PRD07,3,2,Closed Won,172.04,OK,20260327,20260505
OPP00130,REP033,PRD05,4,1,Qualified,1758.89,OK,20260125,
OPP00131,REP006,PRD14,2,2,Qualified,146.16,OK,20260731,
OPP00132,REP013,PRD01,5,3,Closed Won,36.25,OK,20260718,20260730
OPP00133,REP036,PRD07,5,3,Lead,200.79,OK,20250812,
OPP00134,REP032,PRD09,4,5,Lead,229.01,OK,20250913,
OPP00135,REP028,PRD06,2,1,Lead,280.88,OK,20260529,
OPP00136,REP010,PRD15,5,2,Closed Won,1753.9,OK,20260203,20260220
OPP00137,REP036,PRD03,5,1,Lead,365.79,OK,20250706,
OPP00138,REP032,PRD14,4,2,Closed Lost,55.11,OK,20260320,20260816
OPP00139,REP012,PRD09,3,3,Closed Lost,314.18,OK,20251013,20260617
OPP00140,REP007,PRD04,3,1,Qualified,24.8,OK,20260123,
OPP00141,REP040,PRD08,2,2,Closed Lost,3339.33,OK,20251106,20260820
OPP00142,REP020,PRD09,4,1,Qualified,646.25,OK,20260612,
OPP00143,REP006,PRD13,2,2,Proposal,194.01,OK,20260601,
OPP00144,REP005,PRD04,5,5,Proposal,97.38,OK,20250711,
OPP00145,REP031,PRD07,3,2,Proposal,149.19,OK,20250928,
OPP00146,REP013,PRD07,5,2,Closed Won,88.86,OK,20250831,20260902
OPP00147,REP027,PRD03,3,1,Qualified,376.61,OK,20251027,
OPP00148,REP031,PRD06,3,5,Qualified,100.92,OK,20260831,
OPP00149,REP014,PRD03,2,2,Lead,487.85,OK,20250731,
OPP00150,REP001,PRD02,4,3,Proposal,0.0,REVIEW,20260416,
OPP00151,REP015,PRD13,4,5,Lead,63.41,OK,20251027,
OPP00152,REP035,PRD11,3,2,Closed Won,1969.16,OK,20260602,20260614
OPP00153,REP022,PRD04,5,5,Closed Won,163.9,OK,20250805,20260401
OPP00154,REP012,PRD03,3,3,Lead,1169.05,OK,20260413,
OPP00155,REP035,PRD03,3,2,Lead,1578.71,OK,20250803,
OPP00156,REP017,PRD06,4,1,Closed Won,411.1,OK,20260407,20260517
OPP00157,REP020,PRD13,4,3,Proposal,257.57,OK,20260113,
OPP00158,REP005,PRD07,5,1,Qualified,31.08,OK,20250921,
OPP00159,REP006,PRD06,2,5,Closed Lost,438.58,REVIEW,20260404,20260902
OPP00160,REP012,PRD09,3,2,Lead,111.91,OK,20260515,
OPP00161,REP037,PRD07,3,1,Proposal,354.68,OK,20251101,
OPP00162,REP022,PRD11,5,1,Lead,1992.8,OK,20260103,
OPP00163,REP028,PRD09,2,1,Lead,222.71,OK,20251107,
OPP00164,REP029,PRD03,4,4,Qualified,107.61,OK,20251118,
OPP00165,REP004,PRD11,5,2,Lead,4025.34,OK,20260520,
OPP00166,REP004,PRD13,5,4,Closed Won,252.75,OK,20250723,20251209
OPP00167,REP035,PRD05,3,1,Lead,1483.94,OK,20260319,
OPP00168,REP012,PRD10,3,4,Proposal,71.67,OK,20260519,
OPP00169,REP040,PRD15,2,4,Lead,1855.01,OK,20260112,
OPP00170,REP034,PRD02,1,2,Qualified,175.29,OK,20260127,
OPP00171,REP029,PRD11,4,1,Lead,728.97,OK,20251104,
OPP00172,REP007,PRD15,3,2,Lead,2150.98,OK,20250925,
OPP00173,REP011,PRD02,4,1,Lead,122.36,OK,20260427,
OPP00174,REP033,PRD05,4,3,Proposal,1081.37,OK,20250803,
OPP00175,REP029,PRD01,4,2,Qualified,32.78,OK,20260704,
OPP00176,REP019,PRD06,1,4,Lead,255.18,OK,20251223,
OPP00177,REP038,PRD12,5,2,Closed Won,161.42,OK,20251206,20260602
OPP00178,REP033,PRD09,4,1,Closed Lost,215.47,OK,20260401,20260530
OPP00179,REP008,PRD04,3,1,Qualified,118.12,OK,20251227,
OPP00180,REP018,PRD04,5,5,Lead,210.96,OK,20251224,
OPP00181,REP008,PRD09,3,4,Proposal,143.12,OK,20250722,
OPP00182,REP012,PRD13,3,4,Closed Won,215.92,OK,20251201,20260504
OPP00183,REP011,PRD09,4,1,Proposal,608.24,OK,20260315,
OPP00184,REP004,PRD09,5,2,Proposal,319.23,OK,20260205,
OPP00185,REP021,PRD02,2,2,Proposal,196.26,OK,20250826,
OPP00186,REP011,PRD02,4,3,Qualified,104.67,OK,20260205,
OPP00187,REP012,PRD03,3,1,Proposal,156.18,OK,20260402,
OPP00188,REP009,PRD07,3,1,Lead,310.48,OK,20260803,
OPP00189,REP034,PRD01,1,3,Lead,72.51,OK,20260510,
OPP00190,REP033,PRD04,4,2,Closed Lost,16.66,OK,20260824,20260828
OPP00191,REP031,PRD06,3,2,Qualified,463.21,OK,20250725,
OPP00192,REP029,PRD13,4,1,Lead,93.5,OK,20251001,
OPP00193,REP033,PRD02,4,1,Closed Won,48.48,OK,20260122,20260401
OPP00194,REP010,PRD13,5,5,Closed Won,47.29,OK,20260126,20260209
OPP00195,REP014,PRD01,2,1,Lead,115.21,OK,20250926,
OPP00196,REP005,PRD11,5,4,Lead,319.89,OK,20260606,
OPP00197,REP032,PRD07,4,2,Qualified,250.84,OK,20260329,
OPP00198,REP012,PRD12,3,3,Closed Won,199.41,OK,20260304,20260527
OPP00199,REP027,PRD08,3,1,Proposal,2138.12,OK,20260805,
OPP00200,REP012,PRD03,3,2,Proposal,393.89,OK,20251001,
OPP00201,REP015,PRD15,4,1,Qualified,2102.47,OK,20260429,
OPP00202,REP012,PRD12,3,1,Lead,321.41,OK,20251128,
OPP00203,REP029,PRD04,4,1,Lead,97.26,OK,20260117,
OPP00204,REP015,PRD07,4,1,Qualified,10.56,OK,20250807,
OPP00205,REP027,PRD13,3,2,Qualified,36.83,OK,20260607,
OPP00206,REP002,PRD03,5,4,Proposal,346.72,OK,20250705,
OPP00207,REP030,PRD03,4,4,Closed Lost,297.93,OK,20260811,20260902
OPP00208,REP008,PRD13,3,5,Lead,244.29,OK,20260826,
OPP00209,REP002,PRD13,5,5,Qualified,100.53,OK,20251204,
OPP00210,REP010,PRD04,5,2,Qualified,42.62,OK,20260412,
OPP00211,REP004,PRD07,5,4,Closed Lost,39.82,OK,20260603,20260609
OPP00212,REP023,PRD10,4,2,Proposal,41.63,OK,20260317,
OPP00213,REP024,PRD14,1,3,Lead,37.45,OK,20260304,
OPP00214,REP024,PRD08,1,1,Qualified,6457.09,OK,20251008,
OPP00215,REP017,PRD10,4,3,Proposal,9.75,OK,20260222,
OPP00216,REP015,PRD11,4,2,Lead,2750.32,OK,20260801,
OPP00217,REP025,PRD01,1,2,Lead,34.4,OK,20260301,
OPP00218,REP019,PRD03,1,2,Lead,199.37,OK,20260517,
OPP00219,REP021,PRD03,2,2,Proposal,111.74,OK,20260314,
OPP00220,REP015,PRD12,4,1,Closed Won,444.14,OK,20260512,20260708
OPP00221,REP021,PRD01,2,2,Closed Lost,35.14,OK,20251010,20251223
OPP00222,REP031,PRD07,3,4,Qualified,143.12,OK,20260526,
OPP00223,REP026,PRD03,3,2,Lead,512.13,OK,20260424,
OPP00224,REP025,PRD06,1,1,Closed Won,663.63,OK,20251116,20260713
OPP00225,REP021,PRD13,2,2,Closed Won,27.52,OK,20260222,20260511
OPP00226,REP029,PRD06,4,4,Qualified,463.01,OK,20250704,
OPP00227,REP035,PRD03,3,5,Closed Lost,497.68,OK,20260225,20260421
OPP00228,REP038,PRD04,5,2,Lead,81.39,OK,20251214,
OPP00229,REP017,PRD01,4,5,Lead,31.79,OK,20260602,
OPP00230,REP018,PRD08,5,5,Closed Won,2204.48,OK,20260311,20260609
OPP00231,REP019,PRD06,1,1,Proposal,105.6,OK,20260612,
OPP00232,REP006,PRD15,2,2,Closed Lost,2137.58,OK,20260612,20260816
OPP00233,REP008,PRD02,3,4,Lead,120.15,OK,20251216,
OPP00234,REP016,PRD08,2,1,Qualified,1320.62,OK,20260805,
OPP00235,REP025,PRD04,1,2,Lead,168.46,OK,20260706,
OPP00236,REP037,PRD12,3,5,Lead,114.1,OK,20251112,
OPP00237,REP017,PRD06,4,1,Lead,900.79,OK,20250907,
OPP00238,REP020,PRD14,4,2,Qualified,86.6,OK,20260209,
OPP00239,REP028,PRD15,2,2,Proposal,1142.18,OK,20260808,
OPP00240,REP039,PRD01,1,3,Closed Won,80.2,OK,20260321,20260408
OPP00241,REP027,PRD11,3,2,Proposal,404.09,OK,20260102,
OPP00242,REP003,PRD11,3,3,Qualified,3356.86,OK,20260302,
OPP00243,REP006,PRD14,2,2,Qualified,85.2,OK,20251225,
OPP00244,REP001,PRD04,4,5,Closed Won,112.69,OK,20251205,20260131
OPP00245,REP001,PRD15,4,4,Closed Lost,334.0,OK,20250722,20250826
OPP00246,REP025,PRD10,1,1,Qualified,98.66,OK,20260110,
OPP00247,REP035,PRD05,3,1,Lead,371.85,OK,20260708,
OPP00248,REP010,PRD06,5,1,Lead,246.58,OK,20250829,
OPP00249,REP032,PRD10,4,2,Lead,33.81,OK,20260622,
OPP00250,REP033,PRD08,4,4,Qualified,2630.82,OK,20260521,
OPP00251,REP017,PRD15,4,3,Closed Won,459.32,OK,20251202,20260829
OPP00252,REP009,PRD07,3,1,Proposal,12.38,OK,20260428,
OPP00253,REP003,PRD12,3,4,Lead,310.9,OK,20260722,
OPP00254,REP038,PRD06,5,1,Lead,663.9,OK,20260510,
OPP00255,REP008,PRD13,3,3,Proposal,280.1,OK,20260109,
OPP00256,REP037,PRD12,3,2,Lead,82.75,OK,20251026,
OPP00257,REP032,PRD12,4,5,Lead,218.51,OK,20250708,
OPP00258,REP008,PRD06,3,1,Lead,225.19,OK,20250924,
OPP00259,REP018,PRD13,5,1,Proposal,159.46,OK,20260530,
OPP00260,REP026,PRD12,3,2,Qualified,114.52,OK,20251220,
OPP00261,REP013,PRD02,5,1,Proposal,20.8,OK,20251117,
OPP00262,REP039,PRD15,1,2,Qualified,694.79,OK,20260810,
OPP00263,REP015,PRD02,4,4,Proposal,20.78,OK,20260629,
OPP00264,REP007,PRD04,3,3,Lead,134.65,OK,20250812,
OPP00265,REP031,PRD10,3,1,Closed Won,79.37,OK,20260113,20260301
OPP00266,REP006,PRD01,2,4,Proposal,56.57,OK,20260623,
OPP00267,REP017,PRD06,4,4,Closed Won,79.45,OK,20251015,20260822
OPP00268,REP038,PRD01,5,3,Lead,30.72,OK,20260629,
OPP00269,REP016,PRD04,2,4,Qualified,140.16,OK,20260820,
OPP00270,REP008,PRD03,3,3,Closed Won,381.96,OK,20260307,20260731
OPP00271,REP032,PRD01,4,3,Proposal,40.71,OK,20260612,
OPP00272,REP028,PRD13,2,4,Lead,446.24,OK,20260731,
OPP00273,REP022,PRD11,5,2,Proposal,884.26,OK,20260531,
OPP00274,REP013,PRD09,5,1,Closed Won,119.03,OK,20260615,20260630
OPP00275,REP029,PRD02,4,4,Closed Lost,169.33,OK,20260707,20260819
OPP00276,REP001,PRD15,4,2,Lead,979.12,OK,20260121,
OPP00277,REP006,PRD04,2,1,Closed Won,34.06,OK,20260112,20260429
OPP00278,REP032,PRD13,4,1,Lead,215.63,OK,20260812,
OPP00279,REP016,PRD03,2,3,Lead,715.33,OK,20260715,
OPP00280,REP036,PRD13,5,2,Lead,454.54,OK,20260105,
OPP00281,REP018,PRD13,5,5,Lead,369.17,OK,20260202,
OPP00282,REP008,PRD05,3,1,Closed Won,598.76,OK,20260610,20260617
OPP00283,REP032,PRD13,4,1,Lead,96.6,OK,20260210,
OPP00284,REP019,PRD08,1,2,Lead,2717.82,OK,20260102,
OPP00285,REP005,PRD15,5,1,Lead,2637.81,OK,20260131,
OPP00286,REP012,PRD02,3,5,Qualified,113.42,OK,20260321,
OPP00287,REP019,PRD08,1,2,Qualified,3665.74,OK,20260309,
OPP00288,REP024,PRD10,1,4,Lead,109.07,OK,20260827,
OPP00289,REP018,PRD01,5,1,Qualified,63.89,OK,20250904,
OPP00290,REP015,PRD01,4,3,Closed Won,126.51,OK,20251019,20251216
OPP00291,REP014,PRD09,2,1,Qualified,1646.98,OK,20251230,
OPP00292,REP028,PRD06,2,2,Proposal,116.2,OK,20260427,
OPP00293,REP009,PRD06,3,2,Qualified,376.08,OK,20251030,
OPP00294,REP012,PRD11,3,3,Lead,3099.3,OK,20251217,
OPP00295,REP023,PRD12,4,2,Closed Won,79.38,OK,20250822,20260130
OPP00296,REP038,PRD04,5,4,Qualified,56.73,OK,20260516,
OPP00297,REP035,PRD10,3,5,Proposal,167.1,OK,20260318,
OPP00298,REP036,PRD11,5,3,Closed Won,797.87,OK,20260829,20260831
OPP00299,REP011,PRD06,4,4,Proposal,420.02,OK,20260522,
OPP00300,REP039,PRD02,1,2,Closed Won,33.55,OK,20250821,20251109
OPP00301,REP031,PRD05,3,5,Qualified,1187.02,OK,20260526,
OPP00302,REP029,PRD06,4,5,Qualified,195.99,OK,20260502,
OPP00303,REP016,PRD13,2,2,Lead,172.29,OK,20250719,
OPP00304,REP030,PRD14,4,3,Closed Won,104.02,OK,20260425,20260726
OPP00305,REP019,PRD11,1,1,Closed Won,743.69,OK,20250708,20260407
OPP00306,REP030,PRD01,4,1,Closed Lost,33.1,OK,20260220,20260721
OPP00307,REP022,PRD02,5,2,Closed Lost,71.86,OK,20260525,20260706
OPP00308,REP036,PRD10,5,4,Closed Won,20.38,OK,20260718,20260728
OPP00309,REP002,PRD13,5,3,Proposal,86.88,OK,20260131,
OPP00310,REP023,PRD08,4,5,Lead,823.41,OK,20260607,
OPP00311,REP005,PRD05,5,4,Proposal,482.97,OK,20260716,
OPP00312,REP023,PRD11,4,4,Lead,1459.36,OK,20250726,
OPP00313,REP030,PRD04,4,2,Proposal,80.03,OK,20260502,
OPP00314,REP031,PRD02,3,1,Proposal,25.72,OK,20260322,
OPP00315,REP022,PRD14,5,4,Qualified,87.52,OK,20260514,
OPP00316,REP013,PRD06,5,2,Closed Lost,137.83,OK,20251109,20260509
OPP00317,REP016,PRD08,2,1,Qualified,2589.49,OK,20251011,
OPP00318,REP034,PRD05,1,4,Lead,1711.94,OK,20260822,
OPP00319,REP039,PRD01,1,1,Proposal,42.13,OK,20250724,
OPP00320,REP013,PRD13,5,1,Closed Lost,26.2,OK,20260506,20260828
OPP00321,REP023,PRD14,4,1,Qualified,133.93,OK,20250725,
OPP00322,REP022,PRD15,5,1,Lead,1185.81,OK,20250907,
OPP00323,REP027,PRD10,3,2,Qualified,14.77,OK,20260601,
OPP00324,REP023,PRD10,4,5,Lead,85.83,OK,20251017,
OPP00325,REP037,PRD03,3,3,Lead,798.45,OK,20260627,
OPP00326,REP009,PRD01,3,2,Lead,57.4,OK,20251122,
OPP00327,REP010,PRD03,5,4,Closed Won,387.91,OK,20250812,20251121
OPP00328,REP025,PRD03,1,4,Closed Lost,571.93,OK,20260424,20260626
OPP00329,REP024,PRD08,1,4,Lead,1789.71,OK,20251215,
OPP00330,REP030,PRD10,4,4,Lead,30.37,OK,20260622,
OPP00331,REP019,PRD01,1,5,Qualified,8.95,OK,20260314,
OPP00332,REP010,PRD07,5,1,Qualified,101.9,OK,20260323,
OPP00333,REP013,PRD04,5,5,Qualified,110.47,OK,20260424,
OPP00334,REP001,PRD03,4,1,Lead,219.43,OK,20260205,
OPP00335,REP021,PRD13,2,3,Qualified,261.84,OK,20260527,
OPP00336,REP024,PRD04,1,3,Qualified,138.91,OK,20260115,
OPP00337,REP019,PRD12,1,2,Closed Won,176.74,OK,20250905,20260306
OPP00338,REP032,PRD09,4,2,Proposal,316.51,OK,20250719,
OPP00339,REP038,PRD09,5,4,Lead,65.05,OK,20260826,
OPP00340,REP028,PRD06,2,3,Proposal,573.33,OK,20250813,
OPP00341,REP033,PRD06,4,3,Lead,93.72,OK,20260401,
OPP00342,REP032,PRD14,4,1,Lead,51.97,OK,20251225,
OPP00343,REP024,PRD13,1,2,Closed Won,116.67,OK,20250826,20260625
OPP00344,REP031,PRD10,3,3,Lead,58.07,OK,20250804,
OPP00345,REP027,PRD15,3,4,Proposal,1241.82,OK,20250728,
OPP00346,REP029,PRD04,4,4,Qualified,18.11,OK,20260112,
OPP00347,REP033,PRD02,4,1,Qualified,228.73,OK,20251205,
OPP00348,REP002,PRD08,5,1,Closed Lost,3800.15,OK,20250719,20251114
OPP00349,REP014,PRD05,2,4,Proposal,874.96,OK,20260105,
OPP00350,REP011,PRD13,4,3,Lead,505.2,OK,20251010,
OPP00351,REP009,PRD14,3,2,Lead,44.1,OK,20260706,
OPP00352,REP017,PRD14,4,4,Lead,66.16,OK,20250930,
OPP00353,REP040,PRD05,2,2,Qualified,1925.63,OK,20251220,
OPP00354,REP030,PRD07,4,2,Closed Won,68.18,OK,20260630,20260724
OPP00355,REP029,PRD11,4,1,Qualified,547.51,OK,20260416,
OPP00356,REP020,PRD13,4,4,Qualified,26.98,OK,20251111,
OPP00357,REP020,PRD07,4,1,Lead,129.98,OK,20250930,
OPP00358,REP018,PRD12,5,1,Closed Lost,5.38,OK,20251108,20260308
OPP00359,REP019,PRD15,1,1,Closed Won,404.96,OK,20250925,20260507
OPP00360,REP004,PRD14,5,2,Lead,122.06,OK,20250723,
OPP00361,REP003,PRD11,3,3,Closed Lost,2133.97,OK,20260303,20260622
OPP00362,REP019,PRD13,1,5,Lead,296.39,OK,20260421,
OPP00363,REP030,PRD07,4,2,Closed Won,65.12,OK,20260508,20260615
OPP00364,REP031,PRD10,3,1,Lead,12.16,OK,20250901,
OPP00365,REP028,PRD01,2,1,Qualified,45.41,OK,20260108,
OPP00366,REP017,PRD01,4,2,Proposal,28.86,OK,20250921,
OPP00367,REP017,PRD02,4,5,Proposal,46.56,OK,20260223,
OPP00368,REP026,PRD01,3,1,Lead,33.1,OK,20251006,
OPP00369,REP019,PRD05,1,1,Proposal,296.15,OK,20250804,
OPP00370,REP019,PRD05,1,5,Qualified,810.32,OK,20260330,
OPP00371,REP004,PRD15,5,2,Closed Lost,2734.66,OK,20260821,20260831
OPP00372,REP030,PRD02,4,1,Closed Won,123.63,OK,20260417,20260430
OPP00373,REP021,PRD06,2,2,Proposal,260.3,OK,20260731,
OPP00374,REP039,PRD02,1,4,Proposal,146.84,OK,20260326,
OPP00375,REP008,PRD05,3,1,Closed Lost,458.8,OK,20250713,20260604
OPP00376,REP011,PRD05,4,5,Closed Won,821.32,OK,20260719,20260724
