opp_id,rep_id,product_id,channel,region_raw,stage,deal_value,created_date,close_date
OPP00082,REP036,PRD10,Inbound,Centrl,Qualified,36.54,2025-08-17,
OPP00083,REP002,PRD01,Referral,Centrl,Closed Won,18.09,2026-08-02,2026-08-05
OPP00084,REP028,PRD08,Web Signup,South,Closed Lost,2625.34,11/25/2025,2025-12-21
OPP00085,REP017,PRD13,Partner,west ,Qualified,85.7,2025-08-25,
OPP00086,REP006,PRD05,Inbound,South ,Closed Lost,982.84,02-Jan-2026,2026-06-07
OPP00087,REP024,PRD11,Inbound, North,Lead,4470.59,2025-10-05,
OPP00088,REP001,PRD04,Outbound,W.,Lead,61.31,2026-01-11,
OPP00089,REP003,PRD10,Inbound,E.,Lead,43.51,08/03/2025,
OPP00090,REP004,PRD07,Web Signup,CENTRAL,Lead,64.25,2025-09-05,
OPP00091,REP029,PRD12,Web Signup,W.,Closed Won,86.07,05/25/2026,07/25/2026
OPP00092,REP007,PRD09,Partner,E.,Closed Won,1013.57,2026-01-22,04/11/2026
OPP00093,REP016,PRD07,Outbound,South,Qualified,167.29,05-Mar-2026,
OPP00094,REP031,PRD14,Outbound,,Qualified,134.28,2026-01-05,
OPP00095,REP025,PRD14,Web Signup,N.,Lead,91.74,2026-01-26,
OPP00096,REP008,PRD05,Outbound,E.,Lead,1650.36,2026-05-07,
OPP00097,REP040,PRD03,Referral,S.,Lead,181.69,10/13/2025,
OPP00098,REP014,PRD14,Inbound,South ,Proposal,26.19,2026-02-22,
OPP00099,REP038,PRD14,Web Signup,,Proposal,56.23,06/24/2026,
OPP00100,REP003,PRD09,Inbound,E.,Closed Won,618.72,2026-03-06,2026-09-02
OPP00101,REP037,PRD08,Referral,E.,Lead,3156.71,2025-08-29,
OPP00102,REP036,PRD11,Referral,CENTRAL,Proposal,1149.65,2025-07-11,
OPP00103,REP017,PRD09,Referral,West,Qualified,548.14,24-Jun-2026,
OPP00104,REP005,PRD14,Outbound,central,Qualified,67.26,2025-09-19,
OPP00105,REP013,PRD15,Web Signup,CENTRAL,Lead,1491.91,08/29/2025,
OPP00106,REP008,PRD14,Inbound,East,Lead,117.48,08/25/2026,
OPP00107,REP018,PRD03,Outbound,CENTRAL,Qualified,623.76,2025-12-16,
OPP00108,REP017,PRD01,Referral,west,Qualified,119.62,2026-07-31,
OPP00109,REP030,PRD09,Inbound,WEST,Lead,562.2,25-Jan-2026,
OPP00110,REP004,PRD06,Partner,Central,Proposal,196.7,2025-10-14,
OPP00111,REP002,PRD11,Outbound,CENTRAL,Lead,3595.09,2026-04-01,
OPP00112,REP001,PRD02,Outbound,WEST,Proposal,113.21,08/26/2025,
OPP00113,REP036,PRD05,Partner,Central ,Closed Lost,870.5,09-Jan-2026,2026-06-01
OPP00114,REP025,PRD13,Inbound,N.,Qualified,309.57,02/10/2026,
OPP00115,REP014,PRD06,Referral,South,Proposal,223.48,2025-11-03,
OPP00116,REP029,PRD15,Outbound,W.,Lead,173.17,2026-06-09,
OPP00117,REP009,PRD07,Web Signup,EAST,Proposal,138.8,08/29/2026,
OPP00118,REP040,PRD09,Outbound,SOUTH,Lead,408.63,2026-02-23,
OPP00119,REP036,PRD04,Inbound,Centrl,Lead,118.76,2026-08-18,
OPP00120,REP033,PRD15,Partner,W.,Lead,1174.62,2025-07-10,
OPP00121,REP020,PRD09,Web Signup,west,Lead,591.84,2026-02-21,
OPP00122,REP028,PRD11,Referral,S.,Lead,2801.13,22-Sep-2025,
OPP00123,REP015,PRD01,Web Signup,WEST,Qualified,18.22,2025-10-16,
OPP00124,REP011,PRD08,Inbound,west ,Lead,1601.74,25-Jan-2026,
OPP00125,REP027,PRD01,Referral,EAST,Closed Won,23.77,10/01/2025,11-Nov-2025
OPP00126,REP031,PRD15,Partner,east,Closed Lost,398.21,2025-11-01,2026-02-14
OPP00127,REP026,PRD06,Partner,East,Qualified,638.31,07-Feb-2026,
OPP00128,REP005,PRD02,Outbound,Centrl,Qualified,92.28,2025-12-14,
OPP00129,REP003,PRD07,Inbound,EAST,Closed Won,172.04,2026-03-27,2026-05-05
OPP00130,REP033,PRD05,Outbound,W.,Qualified,1758.89,2026-01-25,
OPP00131,REP006,PRD14,Inbound,South ,Qualified,146.16,31-Jul-2026,
OPP00132,REP013,PRD01,Referral,Centrl,Closed Won,36.25,07/18/2026,07/30/2026
OPP00133,REP036,PRD07,Referral,Centrl,Lead,200.79,2025-08-12,
OPP00134,REP032,PRD09,Web Signup,West,Lead,229.01,09/13/2025,
OPP00135,REP028,PRD06,Outbound,south,Lead,280.88,2026-05-29,
OPP00136,REP010,PRD15,Inbound,central,Closed Won,1753.9,2026-02-03,2026-02-20
OPP00137,REP036,PRD03,Outbound,CENTRAL,Lead,365.79,07/06/2025,
OPP00138,REP032,PRD14,Inbound,west ,Closed Lost,55.11,03/20/2026,16-Aug-2026
OPP00139,REP012,PRD09,Referral,EAST,Closed Lost,314.18,10/13/2025,2026-06-17
OPP00140,REP007,PRD04,Outbound,EAST,Qualified,24.8,2026-01-23,
OPP00141,REP040,PRD08,Inbound,SOUTH,Closed Lost,3339.33,2025-11-06,2026-08-20
OPP00142,REP020,PRD09,Outbound,WEST,Qualified,646.25,06/12/2026,
OPP00143,REP006,PRD13,Inbound,South ,Proposal,194.01,2026-06-01,
OPP00144,REP005,PRD04,Web Signup,Central ,Proposal,97.38,2025-07-11,
OPP00145,REP031,PRD07,Inbound,EAST,Proposal,149.19,2025-09-28,
OPP00146,REP013,PRD07,Inbound,Central,Closed Won,88.86,2025-08-31,2026-09-02
OPP00147,REP027,PRD03,Outbound,E.,Qualified,376.61,10/27/2025,
OPP00148,REP031,PRD06,Web Signup,East,Qualified,100.92,2026-08-31,
OPP00149,REP014,PRD03,Inbound,S.,Lead,487.85,31-Jul-2025,
OPP00150,REP001,PRD02,Referral,W.,Proposal,0.0,2026-04-16,
OPP00151,REP015,PRD13,Web Signup,W.,Lead,63.41,10/27/2025,
OPP00152,REP035,PRD11,Inbound,E.,Closed Won,1969.16,02-Jun-2026,2026-06-14
OPP00153,REP022,PRD04,Web Signup,central,Closed Won,163.9,2025-08-05,2026-04-01
OPP00154,REP012,PRD03,Referral,East,Lead,1169.05,2026-04-13,
OPP00155,REP035,PRD03,Inbound,EAST,Lead,1578.71,2025-08-03,
OPP00156,REP017,PRD06,Outbound,west,Closed Won,411.1,2026-04-07,2026-05-17
OPP00157,REP020,PRD13,Referral,west,Proposal,257.57,13-Jan-2026,
OPP00158,REP005,PRD07,Outbound,Central ,Qualified,31.08,2025-09-21,
OPP00159,REP006,PRD06,Web Signup,South ,Closed Lost,-438.58,04-Apr-2026,2026-09-02
OPP00160,REP012,PRD09,Inbound,E.,Lead,111.91,2026-05-15,
OPP00161,REP037,PRD07,Outbound,E.,Proposal,354.68,2025-11-01,
OPP00162,REP022,PRD11,Outbound,Centrl,Lead,1992.8,2026-01-03,
OPP00163,REP028,PRD09,Outbound,S.,Lead,222.71,07-Nov-2025,
OPP00164,REP029,PRD03,Partner,West,Qualified,107.61,18-Nov-2025,
OPP00165,REP004,PRD11,Inbound,central,Lead,4025.34,2026-05-20,
OPP00166,REP004,PRD13,Partner,CENTRAL,Closed Won,252.75,2025-07-23,12/09/2025
OPP00167,REP035,PRD05,Outbound,E.,Lead,1483.94,19-Mar-2026,
OPP00168,REP012,PRD10,Partner,East,Proposal,71.67,05/19/2026,
OPP00169,REP040,PRD15,Partner,south,Lead,1855.01,01/12/2026,
OPP00170,REP034,PRD02,Inbound,North,Qualified,175.29,2026-01-27,
OPP00171,REP029,PRD11,Outbound,West,Lead,728.97,2025-11-04,
OPP00172,REP007,PRD15,Inbound,east,Lead,2150.98,2025-09-25,
OPP00173,REP011,PRD02,Outbound,west,Lead,122.36,2026-04-27,
OPP00174,REP033,PRD05,Referral,W.,Proposal,1081.37,2025-08-03,
OPP00175,REP029,PRD01,Inbound,west ,Qualified,32.78,2026-07-04,
OPP00176,REP019,PRD06,Partner,N.,Lead,255.18,12/23/2025,
OPP00177,REP038,PRD12,Inbound,Centrl,Closed Won,161.42,2025-12-06,2026-06-02
OPP00178,REP033,PRD09,Outbound,West,Closed Lost,215.47,01-Apr-2026,05/30/2026
OPP00179,REP008,PRD04,Outbound,East,Qualified,118.12,27-Dec-2025,
OPP00180,REP018,PRD04,Web Signup,central,Lead,210.96,12/24/2025,
OPP00181,REP008,PRD09,Partner,east,Proposal,143.12,07/22/2025,
OPP00182,REP012,PRD13,Partner,E.,Closed Won,215.92,2025-12-01,2026-05-04
OPP00183,REP011,PRD09,Outbound,W.,Proposal,608.24,2026-03-15,
OPP00184,REP004,PRD09,Inbound,Central ,Proposal,319.23,2026-02-05,
OPP00185,REP021,PRD02,Inbound,S.,Proposal,196.26,26-Aug-2025,
OPP00186,REP011,PRD02,Referral,W.,Qualified,104.67,05-Feb-2026,
OPP00187,REP012,PRD03,Outbound,E.,Proposal,156.18,02-Apr-2026,
OPP00188,REP009,PRD07,Outbound,East,Lead,310.48,2026-08-03,
OPP00189,REP034,PRD01,Referral,NORTH,Lead,72.51,2026-05-10,
OPP00190,REP033,PRD04,Inbound,west,Closed Lost,16.66,2026-08-24,08/28/2026
OPP00191,REP031,PRD06,Inbound,East,Qualified,463.21,07/25/2025,
OPP00192,REP029,PRD13,Outbound,West,Lead,93.5,2025-10-01,
OPP00193,REP033,PRD02,Outbound,West,Closed Won,48.48,2026-01-22,2026-04-01
OPP00194,REP010,PRD13,Web Signup,Central ,Closed Won,47.29,2026-01-26,02/09/2026
OPP00195,REP014,PRD01,Outbound,S.,Lead,115.21,09/26/2025,
OPP00196,REP005,PRD11,Partner,central,Lead,319.89,2026-06-06,
OPP00197,REP032,PRD07,Inbound,WEST,Qualified,250.84,2026-03-29,
OPP00198,REP012,PRD12,Referral,east,Closed Won,199.41,04-Mar-2026,27-May-2026
OPP00199,REP027,PRD08,Outbound,East,Proposal,2138.12,2026-08-05,
OPP00200,REP012,PRD03,Inbound,east,Proposal,393.89,2025-10-01,
OPP00201,REP015,PRD15,Outbound,west,Qualified,2102.47,2026-04-29,
OPP00202,REP012,PRD12,Outbound,,Lead,321.41,28-Nov-2025,
OPP00203,REP029,PRD04,Outbound,west,Lead,97.26,2026-01-17,
OPP00204,REP015,PRD07,Outbound,west,Qualified,10.56,2025-08-07,
OPP00205,REP027,PRD13,Inbound,E.,Qualified,36.83,2026-06-07,
OPP00206,REP002,PRD03,Partner,Central ,Proposal,346.72,2025-07-05,
OPP00207,REP030,PRD03,Partner,west ,Closed Lost,297.93,2026-08-11,09/02/2026
OPP00208,REP008,PRD13,Web Signup,E.,Lead,244.29,08/26/2026,
OPP00209,REP002,PRD13,Web Signup,Central,Qualified,100.53,2025-12-04,
OPP00210,REP010,PRD04,Inbound,Central ,Qualified,42.62,2026-04-12,
OPP00211,REP004,PRD07,Partner,Centrl,Closed Lost,39.82,2026-06-03,2026-06-09
OPP00212,REP023,PRD10,Inbound,west ,Proposal,41.63,03/17/2026,
OPP00213,REP024,PRD14,Referral,NORTH,Lead,37.45,03/04/2026,
OPP00214,REP024,PRD08,Outbound,NORTH,Qualified,6457.09,10/08/2025,
OPP00215,REP017,PRD10,Referral,West,Proposal,9.75,2026-02-22,
OPP00216,REP015,PRD11,Inbound,WEST,Lead,2750.32,08/01/2026,
OPP00217,REP025,PRD01,Inbound,NORTH,Lead,34.4,03/01/2026,
OPP00218,REP019,PRD03,Inbound,N.,Lead,199.37,17-May-2026,
OPP00219,REP021,PRD03,Inbound,SOUTH,Proposal,111.74,2026-03-14,
OPP00220,REP015,PRD12,Outbound,West,Closed Won,444.14,2026-05-12,2026-07-08
OPP00221,REP021,PRD01,Inbound,S.,Closed Lost,35.14,10/10/2025,23-Dec-2025
OPP00222,REP031,PRD07,Partner,East,Qualified,143.12,05/26/2026,
OPP00223,REP026,PRD03,Inbound,,Lead,512.13,2026-04-24,
OPP00224,REP025,PRD06,Outbound,north,Closed Won,663.63,16-Nov-2025,2026-07-13
OPP00225,REP021,PRD13,Inbound,South,Closed Won,27.52,2026-02-22,2026-05-11
OPP00226,REP029,PRD06,Partner,WEST,Qualified,463.01,07/04/2025,
OPP00227,REP035,PRD03,Web Signup,East,Closed Lost,497.68,2026-02-25,04/21/2026
OPP00228,REP038,PRD04,Inbound,Centrl,Lead,81.39,2025-12-14,
OPP00229,REP017,PRD01,Web Signup,West,Lead,31.79,2026-06-02,
OPP00230,REP018,PRD08,Web Signup,Central ,Closed Won,2204.48,03/11/2026,2026-06-09
OPP00231,REP019,PRD06,Outbound,,Proposal,105.6,2026-06-12,
OPP00232,REP006,PRD15,Inbound,SOUTH,Closed Lost,2137.58,2026-06-12,2026-08-16
OPP00233,REP008,PRD02,Partner,east,Lead,120.15,2025-12-16,
OPP00234,REP016,PRD08,Outbound,South,Qualified,1320.62,2026-08-05,
OPP00235,REP025,PRD04,Inbound,N.,Lead,168.46,2026-07-06,
OPP00236,REP037,PRD12,Web Signup,East,Lead,114.1,12-Nov-2025,
OPP00237,REP017,PRD06,Outbound,WEST,Lead,900.79,2025-09-07,
OPP00238,REP020,PRD14,Inbound,west ,Qualified,86.6,2026-02-09,
OPP00239,REP028,PRD15,Inbound,south,Proposal,1142.18,2026-08-08,
OPP00240,REP039,PRD01,Referral,NORTH,Closed Won,80.2,2026-03-21,08-Apr-2026
OPP00241,REP027,PRD11,Inbound,EAST,Proposal,404.09,2026-01-02,
OPP00242,REP003,PRD11,Referral,east,Qualified,3356.86,02-Mar-2026,
OPP00243,REP006,PRD14,Inbound,South ,Qualified,85.2,2025-12-25,
OPP00244,REP001,PRD04,Web Signup,west ,Closed Won,112.69,2025-12-05,31-Jan-2026
OPP00245,REP001,PRD15,Partner,WEST,Closed Lost,334.0,07/22/2025,2025-08-26
OPP00246,REP025,PRD10,Outbound,North,Qualified,98.66,2026-01-10,
OPP00247,REP035,PRD05,Outbound,East,Lead,371.85,07/08/2026,
OPP00248,REP010,PRD06,Outbound,Central,Lead,246.58,2025-08-29,
OPP00249,REP032,PRD10,Inbound,W.,Lead,33.81,2026-06-22,
OPP00250,REP033,PRD08,Partner,WEST,Qualified,2630.82,21-May-2026,
OPP00251,REP017,PRD15,Referral,,Closed Won,459.32,12/02/2025,29-Aug-2026
OPP00252,REP009,PRD07,Outbound,EAST,Proposal,12.38,2026-04-28,
OPP00253,REP003,PRD12,Partner,EAST,Lead,310.9,2026-07-22,
OPP00254,REP038,PRD06,Outbound,Central ,Lead,663.9,10-May-2026,
OPP00255,REP008,PRD13,Referral,EAST,Proposal,280.1,2026-01-09,
OPP00256,REP037,PRD12,Inbound,East,Lead,82.75,2025-10-26,
OPP00257,REP032,PRD12,Web Signup,west ,Lead,218.51,2025-07-08,
OPP00258,REP008,PRD06,Outbound,,Lead,225.19,2025-09-24,
OPP00259,REP018,PRD13,Outbound,central,Proposal,159.46,2026-05-30,
OPP00260,REP026,PRD12,Inbound,East,Qualified,114.52,2025-12-20,
OPP00261,REP013,PRD02,Outbound,CENTRAL,Proposal,20.8,17-Nov-2025,
OPP00262,REP039,PRD15,Inbound,north,Qualified,694.79,08/10/2026,
OPP00263,REP015,PRD02,Partner,W.,Proposal,20.78,2026-06-29,
OPP00264,REP007,PRD04,Referral,EAST,Lead,134.65,08/12/2025,
OPP00265,REP031,PRD10,Outbound,E.,Closed Won,79.37,13-Jan-2026,2026-03-01
OPP00266,REP006,PRD01,Partner,SOUTH,Proposal,56.57,06/23/2026,
OPP00267,REP017,PRD06,Partner,west,Closed Won,79.45,10/15/2025,2026-08-22
OPP00268,REP038,PRD01,Referral,Central ,Lead,30.72,29-Jun-2026,
OPP00269,REP016,PRD04,Partner,South,Qualified,140.16,08/20/2026,
OPP00270,REP008,PRD03,Referral,E.,Closed Won,381.96,2026-03-07,31-Jul-2026
OPP00271,REP032,PRD01,Referral,W.,Proposal,40.71,2026-06-12,
OPP00272,REP028,PRD13,Partner,SOUTH,Lead,446.24,2026-07-31,
OPP00273,REP022,PRD11,Inbound,CENTRAL,Proposal,884.26,05/31/2026,
OPP00274,REP013,PRD09,Outbound,central,Closed Won,119.03,06/15/2026,2026-06-30
OPP00275,REP029,PRD02,Partner,,Closed Lost,169.33,2026-07-07,2026-08-19
OPP00276,REP001,PRD15,Inbound,WEST,Lead,979.12,2026-01-21,
OPP00277,REP006,PRD04,Outbound,South ,Closed Won,34.06,2026-01-12,2026-04-29
OPP00278,REP032,PRD13,Outbound,,Lead,215.63,2026-08-12,
OPP00279,REP016,PRD03,Referral,South ,Lead,715.33,2026-07-15,
OPP00280,REP036,PRD13,Inbound,Central ,Lead,454.54,05-Jan-2026,
OPP00281,REP018,PRD13,Web Signup,Central ,Lead,369.17,2026-02-02,
OPP00282,REP008,PRD05,Outbound,EAST,Closed Won,598.76,2026-06-10,2026-06-17
OPP00283,REP032,PRD13,Outbound,West,Lead,96.6,02/10/2026,
OPP00284,REP019,PRD08,Inbound, North,Lead,2717.82,2026-01-02,
OPP00285,REP005,PRD15,Outbound,Centrl,Lead,2637.81,01/31/2026,
OPP00286,REP012,PRD02,Web Signup,E.,Qualified,113.42,2026-03-21,
OPP00287,REP019,PRD08,Inbound,NORTH,Qualified,3665.74,09-Mar-2026,
OPP00288,REP024,PRD10,Partner,NORTH,Lead,109.07,2026-08-27,
OPP00289,REP018,PRD01,Outbound,Central,Qualified,63.89,04-Sep-2025,
OPP00290,REP015,PRD01,Referral,W.,Closed Won,126.51,10/19/2025,16-Dec-2025
OPP00291,REP014,PRD09,Outbound,S.,Qualified,1646.98,2025-12-30,
OPP00292,REP028,PRD06,Inbound,S.,Proposal,116.2,2026-04-27,
OPP00293,REP009,PRD06,Inbound,EAST,Qualified,376.08,2025-10-30,
OPP00294,REP012,PRD11,Referral,E.,Lead,3099.3,2025-12-17,
OPP00295,REP023,PRD12,Inbound,WEST,Closed Won,79.38,08/22/2025,2026-01-30
OPP00296,REP038,PRD04,Partner,Centrl,Qualified,56.73,2026-05-16,
OPP00297,REP035,PRD10,Web Signup,east,Proposal,167.1,03/18/2026,
OPP00298,REP036,PRD11,Referral,central,Closed Won,797.87,08/29/2026,2026-08-31
OPP00299,REP011,PRD06,Partner,W.,Proposal,420.02,22-May-2026,
OPP00300,REP039,PRD02,Inbound, North,Closed Won,33.55,2025-08-21,2025-11-09
OPP00301,REP031,PRD05,Web Signup,,Qualified,1187.02,2026-05-26,
OPP00302,REP029,PRD06,Web Signup,WEST,Qualified,195.99,05/02/2026,
OPP00303,REP016,PRD13,Inbound,S.,Lead,172.29,2025-07-19,
OPP00304,REP030,PRD14,Referral,W.,Closed Won,104.02,25-Apr-2026,07/26/2026
OPP00305,REP019,PRD11,Outbound,North,Closed Won,743.69,2025-07-08,2026-04-07
OPP00306,REP030,PRD01,Outbound,west,Closed Lost,33.1,02/20/2026,2026-07-21
OPP00307,REP022,PRD02,Inbound,Centrl,Closed Lost,71.86,2026-05-25,2026-07-06
OPP00308,REP036,PRD10,Partner,Central ,Closed Won,20.38,18-Jul-2026,2026-07-28
OPP00309,REP002,PRD13,Referral,Centrl,Proposal,86.88,01/31/2026,
OPP00310,REP023,PRD08,Web Signup,West,Lead,823.41,2026-06-07,
OPP00311,REP005,PRD05,Partner,Central ,Proposal,482.97,07/16/2026,
OPP00312,REP023,PRD11,Partner,West,Lead,1459.36,07/26/2025,
OPP00313,REP030,PRD04,Inbound,west,Proposal,80.03,2026-05-02,
OPP00314,REP031,PRD02,Outbound,EAST,Proposal,25.72,2026-03-22,
OPP00315,REP022,PRD14,Partner,Central ,Qualified,87.52,2026-05-14,
OPP00316,REP013,PRD06,Inbound,central,Closed Lost,137.83,2025-11-09,05/09/2026
OPP00317,REP016,PRD08,Outbound,South,Qualified,2589.49,10/11/2025,
OPP00318,REP034,PRD05,Partner, North,Lead,1711.94,2026-08-22,
OPP00319,REP039,PRD01,Outbound,North,Proposal,42.13,2025-07-24,
OPP00320,REP013,PRD13,Outbound,Centrl,Closed Lost,26.2,2026-05-06,08/28/2026
OPP00321,REP023,PRD14,Outbound,west,Qualified,133.93,2025-07-25,
OPP00322,REP022,PRD15,Outbound,CENTRAL,Lead,1185.81,07-Sep-2025,
OPP00323,REP027,PRD10,Inbound,E.,Qualified,14.77,2026-06-01,
OPP00324,REP023,PRD10,Web Signup,W.,Lead,85.83,2025-10-17,
OPP00325,REP037,PRD03,Referral,E.,Lead,798.45,27-Jun-2026,
OPP00326,REP009,PRD01,Inbound,EAST,Lead,57.4,22-Nov-2025,
OPP00327,REP010,PRD03,Partner,Central ,Closed Won,387.91,2025-08-12,21-Nov-2025
OPP00328,REP025,PRD03,Partner,N.,Closed Lost,571.93,24-Apr-2026,2026-06-26
OPP00329,REP024,PRD08,Partner,N.,Lead,1789.71,2025-12-15,
OPP00330,REP030,PRD10,Partner,WEST,Lead,30.37,06/22/2026,
OPP00331,REP019,PRD01,Web Signup, North,Qualified,8.95,2026-03-14,
