region_name,channel_name,year,month,avg_deal_size,deals_won
East,Outbound,2026,8,419.06,18
East,Partner,2026,8,629.4,11
East,Referral,2026,8,434.22,7
East,Web Signup,2026,8,462.46,10
East,Inbound,2026,9,618.72,1
East,Outbound,2026,9,489.87,5
East,Referral,2026,9,14.42,2
East,Web Signup,2026,9,2613.4,2
North,Outbound,2025,7,224.9,1
North,Partner,2025,9,0.0,1
North,Web Signup,2025,9,53.84,1
North,Inbound,2025,10,536.21,3
North,Partner,2025,10,62.96,1
North,Web Signup,2025,10,26.75,1
North,Inbound,2025,11,33.55,1
North,Outbound,2025,11,147.57,1
North,Referral,2025,11,165.69,1
North,Inbound,2025,12,540.5,3
North,Outbound,2025,12,4324.25,1
North,Partner,2025,12,682.75,1
North,Referral,2025,12,56.47,1
North,Web Signup,2025,12,565.57,2
North,Inbound,2026,1,258.15,2
North,Outbound,2026,1,1190.78,4
North,Web Signup,2026,1,251.49,2
North,Inbound,2026,2,177.23,3
North,Outbound,2026,2,247.01,1
North,Partner,2026,2,4729.75,1
North,Referral,2026,2,189.05,3
North,Web Signup,2026,2,167.91,2
North,Inbound,2026,3,93.06,3
North,Outbound,2026,3,256.49,3
North,Partner,2026,3,372.58,1
North,Referral,2026,3,41.39,2
North,Web Signup,2026,3,513.34,1
North,Inbound,2026,4,320.79,1
North,Outbound,2026,4,377.87,2
North,Partner,2026,4,125.02,2
North,Referral,2026,4,69.88,2
North,Inbound,2026,5,424.79,1
North,Outbound,2026,5,785.13,3
North,Partner,2026,5,313.57,2
North,Referral,2026,5,840.73,4
North,Inbound,2026,6,294.54,6
North,Outbound,2026,6,239.95,4
North,Partner,2026,6,490.5,2
North,Referral,2026,6,966.58,1
North,Web Signup,2026,6,701.32,3
North,Inbound,2026,7,1645.22,6
North,Outbound,2026,7,852.27,5
North,Partner,2026,7,621.2,4
North,Referral,2026,7,442.43,5
North,Web Signup,2026,7,241.56,1
North,Inbound,2026,8,421.69,8
North,Outbound,2026,8,381.12,2
North,Partner,2026,8,592.68,5
North,Referral,2026,8,342.8,1
North,Web Signup,2026,8,79.47,2
North,Inbound,2026,9,10.64,1
North,Outbound,2026,9,268.66,2
North,Partner,2026,9,256.9,1
North,Referral,2026,9,752.31,1
South,Inbound,2025,9,445.74,3
South,Referral,2025,10,1938.4,1
South,Inbound,2025,11,781.09,2
South,Outbound,2025,11,74.92,1
South,Inbound,2025,12,550.53,3
South,Outbound,2025,12,98.78,1
South,Referral,2025,12,152.81,2
South,Inbound,2026,1,230.44,5
South,Partner,2026,1,1927.71,1
South,Referral,2026,1,15.65,1
South,Inbound,2026,2,527.65,4
South,Outbound,2026,2,1310.06,3
South,Referral,2026,2,25.45,1
South,Inbound,2026,3,70.68,2
South,Outbound,2026,3,448.6,1
South,Partner,2026,3,628.46,2
South,Referral,2026,3,578.27,4
South,Web Signup,2026,3,820.64,1
South,Inbound,2026,4,641.23,3
South,Outbound,2026,4,64.95,7
South,Partner,2026,4,1492.34,1
South,Referral,2026,4,164.68,2
South,Inbound,2026,5,86.05,3
South,Outbound,2026,5,374.34,6
South,Partner,2026,5,85.72,1
South,Inbound,2026,6,310.96,1
South,Outbound,2026,6,527.15,8
South,Partner,2026,6,1014.38,3
South,Referral,2026,6,196.62,1
South,Web Signup,2026,6,659.13,2
South,Inbound,2026,7,282.44,10
South,Outbound,2026,7,882.47,4
South,Partner,2026,7,159.92,3
South,Referral,2026,7,120.66,2
South,Web Signup,2026,7,163.51,2
South,Inbound,2026,8,798.27,12
South,Outbound,2026,8,214.04,8
South,Partner,2026,8,1599.94,5
South,Referral,2026,8,987.15,6
South,Web Signup,2026,8,371.13,3
South,Outbound,2026,9,66.71,1
South,Partner,2026,9,104.52,1
West,Outbound,2025,8,53.24,1
West,Web Signup,2025,8,27.87,1
West,Web Signup,2025,9,166.2,1
West,Inbound,2025,10,244.83,2
West,Outbound,2025,10,2632.68,2
West,Referral,2025,10,457.43,1
West,Web Signup,2025,10,13.9,1
West,Outbound,2025,11,639.41,2
West,Partner,2025,11,537.77,3
West,Web Signup,2025,11,167.55,1
West,Inbound,2025,12,151.46,3
West,Outbound,2025,12,184.37,1
West,Partner,2025,12,590.62,1
West,Referral,2025,12,126.51,1
West,Inbound,2026,1,121.43,4
West,Outbound,2026,1,1027.65,6
West,Partner,2026,1,23.55,1
West,Referral,2026,1,319.6,1
West,Web Signup,2026,1,357.65,3
West,Inbound,2026,2,668.47,6
West,Outbound,2026,2,340.12,3
West,Partner,2026,2,7.16,1
West,Referral,2026,2,1023.73,3
West,Web Signup,2026,2,691.46,4
West,Inbound,2026,3,256.1,5
West,Outbound,2026,3,514.4,3
West,Partner,2026,3,1203.08,2
West,Referral,2026,3,142.54,1
West,Inbound,2026,4,535.97,6
West,Outbound,2026,4,125.03,8
West,Partner,2026,4,984.49,3
West,Web Signup,2026,4,172.75,1
West,Inbound,2026,5,378.09,9
West,Outbound,2026,5,731.21,5
West,Partner,2026,5,137.79,2
West,Referral,2026,5,1611.71,2
West,Web Signup,2026,5,801.47,2
West,Inbound,2026,6,233.24,14
West,Outbound,2026,6,242.62,9
West,Partner,2026,6,1443.74,4
West,Referral,2026,6,241.2,3
West,Web Signup,2026,6,74.64,3
West,Inbound,2026,7,449.94,14
West,Outbound,2026,7,391.61,11
West,Partner,2026,7,850.27,7
West,Referral,2026,7,1445.55,5
West,Web Signup,2026,7,536.19,5
West,Inbound,2026,8,493.08,17
West,Outbound,2026,8,314.89,13
West,Partner,2026,8,320.95,9
West,Referral,2026,8,1857.75,5
West,Web Signup,2026,8,133.71,6
West,Inbound,2026,9,266.94,5
West,Outbound,2026,9,890.96,3
